prev_filename,filename,classtype,xmin,xmax,ymin,ymax
maksssksksss0.png,0.png,without_mask,79,109,105,142
maksssksksss0.png,0.png,with_mask,185,226,100,144
maksssksksss0.png,0.png,without_mask,325,360,90,141
maksssksksss1.png,1.png,with_mask,321,354,34,69
maksssksksss1.png,1.png,with_mask,224,261,38,73
maksssksksss1.png,1.png,with_mask,299,315,58,81
maksssksksss1.png,1.png,with_mask,143,174,74,115
maksssksksss1.png,1.png,with_mask,74,95,69,99
maksssksksss1.png,1.png,with_mask,191,221,67,93
maksssksksss1.png,1.png,with_mask,21,44,73,93
maksssksksss1.png,1.png,with_mask,369,398,70,99
maksssksksss1.png,1.png,without_mask,83,111,56,89
maksssksksss10.png,2.png,with_mask,98,194,267,383
maksssksksss100.png,3.png,with_mask,189,245,30,88
maksssksksss100.png,3.png,with_mask,387,400,54,75
maksssksksss100.png,3.png,with_mask,118,163,87,126
maksssksksss101.png,4.png,with_mask,48,164,294,400
maksssksksss102.png,5.png,with_mask,212,251,57,106
maksssksksss103.png,6.png,with_mask,42,94,54,110
maksssksksss103.png,6.png,with_mask,188,236,46,106
maksssksksss103.png,6.png,with_mask,261,303,88,130
maksssksksss103.png,6.png,with_mask,368,400,112,151
maksssksksss104.png,7.png,without_mask,42,66,109,140
maksssksksss104.png,7.png,without_mask,2,22,105,125
maksssksksss104.png,7.png,without_mask,30,46,88,105
maksssksksss104.png,7.png,with_mask,133,174,108,152
maksssksksss104.png,7.png,with_mask,221,256,101,139
maksssksksss104.png,7.png,without_mask,304,331,131,158
maksssksksss104.png,7.png,without_mask,83,96,85,96
maksssksksss104.png,7.png,without_mask,167,180,91,108
maksssksksss105.png,8.png,with_mask,178,213,143,202
maksssksksss105.png,8.png,with_mask,280,312,103,145
maksssksksss105.png,8.png,with_mask,320,352,79,119
maksssksksss105.png,8.png,with_mask,365,390,53,84
maksssksksss105.png,8.png,with_mask,243,267,36,67
maksssksksss105.png,8.png,with_mask,115,146,47,87
maksssksksss105.png,8.png,with_mask,33,65,88,131
maksssksksss105.png,8.png,with_mask,29,65,202,265
maksssksksss105.png,8.png,with_mask,26,52,34,66
maksssksksss106.png,9.png,with_mask,154,423,51,391
maksssksksss107.png,10.png,with_mask,121,212,192,312
maksssksksss108.png,11.png,with_mask,155,180,29,51
maksssksksss108.png,11.png,with_mask,206,228,35,58
maksssksksss108.png,11.png,with_mask,332,346,67,81
maksssksksss108.png,11.png,with_mask,362,376,68,82
maksssksksss108.png,11.png,without_mask,267,278,72,83
maksssksksss109.png,12.png,with_mask,216,372,92,251
maksssksksss11.png,13.png,mask_weared_incorrect,23,77,114,172
maksssksksss11.png,13.png,with_mask,147,200,157,211
maksssksksss11.png,13.png,with_mask,201,230,191,234
maksssksksss11.png,13.png,with_mask,243,293,192,247
maksssksksss11.png,13.png,with_mask,309,346,182,224
maksssksksss11.png,13.png,with_mask,249,276,108,140
maksssksksss11.png,13.png,with_mask,275,303,99,128
maksssksksss11.png,13.png,with_mask,195,214,90,113
maksssksksss11.png,13.png,with_mask,214,237,76,99
maksssksksss11.png,13.png,with_mask,232,247,50,67
maksssksksss11.png,13.png,with_mask,266,281,45,61
maksssksksss11.png,13.png,with_mask,207,222,47,63
maksssksksss11.png,13.png,with_mask,227,239,36,48
maksssksksss11.png,13.png,with_mask,253,267,33,45
maksssksksss11.png,13.png,with_mask,290,304,31,41
maksssksksss11.png,13.png,with_mask,362,372,32,40
maksssksksss110.png,14.png,without_mask,6,43,111,148
maksssksksss110.png,14.png,without_mask,22,49,20,46
maksssksksss110.png,14.png,with_mask,48,70,12,37
maksssksksss110.png,14.png,with_mask,113,136,1,24
maksssksksss110.png,14.png,without_mask,78,106,17,46
maksssksksss110.png,14.png,without_mask,97,115,66,86
maksssksksss110.png,14.png,without_mask,70,104,111,145
maksssksksss110.png,14.png,without_mask,42,85,157,186
maksssksksss110.png,14.png,with_mask,59,111,205,264
maksssksksss110.png,14.png,without_mask,116,172,155,198
maksssksksss110.png,14.png,without_mask,112,149,85,118
maksssksksss110.png,14.png,without_mask,124,153,27,47
maksssksksss110.png,14.png,without_mask,163,189,29,53
maksssksksss110.png,14.png,with_mask,186,215,18,44
maksssksksss110.png,14.png,with_mask,178,214,77,111
maksssksksss110.png,14.png,without_mask,216,241,57,84
maksssksksss110.png,14.png,without_mask,237,268,15,46
maksssksksss110.png,14.png,without_mask,281,308,19,40
maksssksksss110.png,14.png,without_mask,286,311,60,84
maksssksksss110.png,14.png,with_mask,253,293,94,135
maksssksksss110.png,14.png,without_mask,236,273,161,195
maksssksksss110.png,14.png,with_mask,282,322,194,232
maksssksksss110.png,14.png,with_mask,314,350,115,152
maksssksksss110.png,14.png,without_mask,335,359,27,52
maksssksksss110.png,14.png,without_mask,381,401,14,34
maksssksksss110.png,14.png,with_mask,356,385,72,98
maksssksksss111.png,15.png,with_mask,17,35,182,202
maksssksksss111.png,15.png,with_mask,17,25,101,116
maksssksksss111.png,15.png,with_mask,48,61,98,113
maksssksksss111.png,15.png,without_mask,17,27,127,144
maksssksksss111.png,15.png,without_mask,5,14,133,152
maksssksksss111.png,15.png,with_mask,109,132,59,82
maksssksksss111.png,15.png,with_mask,140,161,64,85
maksssksksss111.png,15.png,with_mask,184,207,68,93
maksssksksss111.png,15.png,with_mask,248,267,73,95
maksssksksss111.png,15.png,with_mask,291,314,65,90
maksssksksss111.png,15.png,with_mask,383,397,96,110
maksssksksss111.png,15.png,without_mask,383,398,125,145
maksssksksss112.png,16.png,mask_weared_incorrect,90,138,84,131
maksssksksss113.png,17.png,with_mask,133,148,108,124
maksssksksss113.png,17.png,with_mask,203,214,117,131
maksssksksss113.png,17.png,with_mask,294,308,115,130
maksssksksss113.png,17.png,without_mask,228,241,119,134
maksssksksss114.png,18.png,without_mask,4,75,83,161
maksssksksss114.png,18.png,with_mask,80,153,58,141
maksssksksss115.png,19.png,with_mask,24,47,67,91
maksssksksss115.png,19.png,with_mask,79,103,91,112
maksssksksss115.png,19.png,with_mask,109,128,80,101
maksssksksss115.png,19.png,with_mask,137,159,88,110
maksssksksss115.png,19.png,with_mask,179,205,107,134
maksssksksss115.png,19.png,with_mask,254,278,105,128
maksssksksss115.png,19.png,with_mask,221,244,78,100
maksssksksss115.png,19.png,with_mask,172,183,86,107
maksssksksss115.png,19.png,with_mask,185,209,85,104
maksssksksss116.png,20.png,with_mask,116,150,88,122
maksssksksss116.png,20.png,with_mask,160,193,79,118
maksssksksss116.png,20.png,with_mask,235,272,43,87
maksssksksss116.png,20.png,with_mask,304,336,68,102
maksssksksss116.png,20.png,with_mask,379,399,61,96
maksssksksss117.png,21.png,with_mask,131,227,224,346
maksssksksss118.png,22.png,with_mask,138,176,79,116
maksssksksss118.png,22.png,with_mask,217,255,70,107
maksssksksss119.png,23.png,with_mask,54,82,92,120
maksssksksss119.png,23.png,with_mask,132,153,47,71
maksssksksss119.png,23.png,with_mask,242,268,94,125
maksssksksss119.png,23.png,with_mask,254,266,51,64
maksssksksss119.png,23.png,with_mask,263,275,79,92
maksssksksss119.png,23.png,without_mask,302,330,81,107
maksssksksss119.png,23.png,without_mask,352,377,45,67
maksssksksss12.png,24.png,with_mask,72,90,71,88
maksssksksss12.png,24.png,with_mask,119,137,70,88
maksssksksss12.png,24.png,with_mask,163,185,76,96
maksssksksss12.png,24.png,with_mask,36,46,70,82
maksssksksss12.png,24.png,with_mask,120,132,55,68
maksssksksss12.png,24.png,with_mask,94,102,59,69
maksssksksss12.png,24.png,with_mask,153,171,61,81
maksssksksss12.png,24.png,with_mask,335,353,70,87
maksssksksss12.png,24.png,with_mask,273,290,58,75
maksssksksss12.png,24.png,with_mask,232,249,61,78
maksssksksss12.png,24.png,without_mask,298,312,61,84
maksssksksss12.png,24.png,with_mask,354,365,54,68
maksssksksss12.png,24.png,with_mask,38,45,82,98
maksssksksss120.png,25.png,with_mask,59,183,185,336
maksssksksss121.png,26.png,without_mask,11,41,48,75
maksssksksss121.png,26.png,without_mask,91,121,41,72
maksssksksss121.png,26.png,without_mask,176,204,56,83
maksssksksss121.png,26.png,without_mask,239,266,56,81
maksssksksss121.png,26.png,without_mask,301,329,62,87
maksssksksss121.png,26.png,without_mask,343,368,74,97
maksssksksss121.png,26.png,without_mask,387,400,82,107
maksssksksss122.png,27.png,with_mask,201,345,38,213
maksssksksss123.png,28.png,with_mask,92,191,106,224
maksssksksss123.png,28.png,with_mask,227,321,129,229
maksssksksss124.png,29.png,with_mask,91,143,146,204
maksssksksss124.png,29.png,with_mask,239,290,126,182
maksssksksss124.png,29.png,with_mask,378,399,146,171
maksssksksss124.png,29.png,without_mask,1,20,170,196
maksssksksss124.png,29.png,without_mask,333,360,133,170
maksssksksss125.png,30.png,without_mask,118,216,151,279
maksssksksss126.png,31.png,with_mask,106,158,45,104
maksssksksss126.png,31.png,with_mask,194,215,62,88
maksssksksss126.png,31.png,without_mask,226,267,2,97
maksssksksss127.png,32.png,with_mask,98,130,46,80
maksssksksss128.png,33.png,without_mask,93,194,183,295
maksssksksss129.png,34.png,without_mask,106,124,69,89
maksssksksss129.png,34.png,without_mask,149,168,30,53
maksssksksss129.png,34.png,with_mask,246,271,40,69
maksssksksss13.png,35.png,with_mask,28,44,54,71
maksssksksss13.png,35.png,with_mask,98,114,62,80
maksssksksss13.png,35.png,mask_weared_incorrect,162,194,51,89
maksssksksss13.png,35.png,with_mask,293,313,60,81
maksssksksss13.png,35.png,with_mask,352,373,53,71
maksssksksss13.png,35.png,with_mask,229,241,53,72
maksssksksss130.png,36.png,mask_weared_incorrect,7,46,104,147
maksssksksss130.png,36.png,mask_weared_incorrect,162,208,58,112
maksssksksss130.png,36.png,without_mask,304,332,95,141
maksssksksss130.png,36.png,without_mask,198,223,95,136
maksssksksss131.png,37.png,with_mask,65,110,63,112
maksssksksss131.png,37.png,with_mask,127,166,31,76
maksssksksss131.png,37.png,without_mask,257,284,55,86
maksssksksss131.png,37.png,with_mask,284,321,66,107
maksssksksss131.png,37.png,without_mask,252,295,125,167
maksssksksss131.png,37.png,with_mask,345,363,93,116
maksssksksss131.png,37.png,without_mask,236,256,74,99
maksssksksss131.png,37.png,without_mask,216,237,63,83
maksssksksss132.png,38.png,mask_weared_incorrect,106,190,72,182
maksssksksss133.png,39.png,with_mask,100,221,179,318
maksssksksss134.png,40.png,with_mask,92,117,19,50
maksssksksss134.png,40.png,without_mask,156,177,22,48
maksssksksss134.png,40.png,with_mask,179,197,24,47
maksssksksss134.png,40.png,with_mask,183,205,74,100
maksssksksss134.png,40.png,with_mask,269,285,70,89
maksssksksss134.png,40.png,without_mask,343,359,15,34
maksssksksss134.png,40.png,with_mask,302,318,43,59
maksssksksss135.png,41.png,with_mask,49,144,157,225
maksssksksss135.png,41.png,with_mask,151,270,67,198
maksssksksss136.png,42.png,with_mask,100,152,105,158
maksssksksss137.png,43.png,without_mask,38,53,143,161
maksssksksss137.png,43.png,without_mask,76,95,146,164
maksssksksss137.png,43.png,with_mask,114,131,142,163
maksssksksss137.png,43.png,with_mask,158,175,165,185
maksssksksss137.png,43.png,without_mask,217,241,153,174
maksssksksss137.png,43.png,without_mask,283,310,158,181
maksssksksss138.png,44.png,with_mask,51,128,144,239
maksssksksss138.png,44.png,with_mask,147,217,169,233
maksssksksss138.png,44.png,with_mask,224,309,92,186
maksssksksss139.png,45.png,with_mask,2,19,28,46
maksssksksss139.png,45.png,with_mask,23,45,36,59
maksssksksss139.png,45.png,without_mask,30,51,71,92
maksssksksss139.png,45.png,with_mask,4,35,177,209
maksssksksss139.png,45.png,with_mask,93,117,15,34
maksssksksss139.png,45.png,with_mask,99,122,74,100
maksssksksss139.png,45.png,mask_weared_incorrect,56,79,132,162
maksssksksss139.png,45.png,with_mask,36,65,152,183
maksssksksss139.png,45.png,with_mask,138,165,191,221
maksssksksss139.png,45.png,with_mask,182,209,13,36
maksssksksss139.png,45.png,with_mask,188,213,55,80
maksssksksss139.png,45.png,with_mask,196,219,146,168
maksssksksss139.png,45.png,with_mask,213,243,164,193
maksssksksss139.png,45.png,with_mask,253,277,13,35
maksssksksss139.png,45.png,with_mask,246,268,73,98
maksssksksss139.png,45.png,with_mask,286,314,10,38
maksssksksss139.png,45.png,with_mask,320,341,1,15
maksssksksss139.png,45.png,with_mask,345,372,34,57
maksssksksss139.png,45.png,with_mask,358,388,116,141
maksssksksss14.png,46.png,without_mask,152,239,192,319
maksssksksss140.png,47.png,with_mask,37,188,74,247
maksssksksss140.png,47.png,with_mask,210,336,114,255
maksssksksss141.png,48.png,with_mask,129,175,96,155
maksssksksss141.png,48.png,with_mask,220,260,123,169
